,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Ventricle,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Accumbens,Left-Ventral-DC,Left-Vessel,Left-Choroid-Plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Ventricle,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens,Right-Ventral-DC,Right-Vessel
p_0,0.9794147685604508,0.8150047283665195,0.6761759963348636,0.9030660375837153,0.41324920809740373,0.8350222219748081,0.8763469473657799,0.905062550622552,0.8110003432031624,0.8365352201978192,0.8267139986094654,0.7925093613170802,0.7966971640332579,0.9260458929854332,0.7837108946568583,0.8050478659594259,0.7892004112710259,0.8555307134509414,0.20979019511956676,0.43140964859221176,0.8158193874185907,0.6690355146805654,0.9042486394404478,0.3901192471029025,0.8518112630588093,0.8843744363863876,0.9037367273398623,0.7761075420329068,0.8376309721054983,0.8182867679097512,0.798324460425583,0.8566045617404133,0.7026443567045636,0.8376586890937437,0.10958902608369506,0.5132275119931998
p_0,0.9770608638126128,0.8071244561834493,0.658081875172515,0.9081212756664183,0.1337648313509727,0.8479766676242627,0.8875069881458827,0.9231632075585176,0.8738512939913834,0.8549406285293101,0.8509359813937232,0.7697247671113542,0.8007708966495523,0.9301830919359838,0.7214908207662796,0.7773677717653928,0.8402432236581359,0.8480627750386829,0.5536331988362215,0.42496426667477716,0.8096036519824333,0.6584585212539458,0.8969586923524895,0.20799999762285717,0.8447917936119209,0.8788198263599484,0.92257690021905,0.8700875576561927,0.8499555671269701,0.7862508518409952,0.7517768774163052,0.763751315566383,0.7750826859146489,0.8384412412843097,0.12121210284665108,0.4467826772691919
p_0,0.9815943064432745,0.8243552440360525,0.7152369423658762,0.8358595188934939,0.32704401830096397,0.8415059144844877,0.892921478481454,0.9308750968938587,0.8340545209497463,0.9022701265115493,0.9000783681424798,0.8391768260702102,0.815088755386862,0.9402340458163412,0.8831677199012589,0.8785009049395509,0.8660531653064767,0.8844938129824855,0.45192305519600695,0.4134705293407808,0.8335011072936425,0.7176200154661265,0.8071889280435914,0.39338842324977813,0.8610530605889563,0.9005894637162172,0.9012626124458436,0.8475457561901563,0.905433552993255,0.8799355340855449,0.8544786656862965,0.8361739115892628,0.8055096374352086,0.8693187178783722,0.06976743374797281,0.3609879647815835
p_0,0.9767369950460826,0.7930736854744851,0.6835572486196104,0.8658669571068421,0.3081009255232281,0.8408694445961873,0.890011188600552,0.9179514819849318,0.8948244146643101,0.8969964764453356,0.8884501463209277,0.8141930529790421,0.8034235218064281,0.92405635746668,0.8269292340482475,0.8238623975095528,0.8287345345921286,0.8700250478986686,0.44604313337819185,0.4118024348184578,0.79415730171859,0.6729104409500952,0.8371434149877182,0.48747912374826174,0.8233900310785619,0.8952449777244075,0.9024714613196989,0.8823379916286845,0.9034236069855496,0.8764311076264685,0.8386285515645666,0.8749227264065058,0.7888823134897557,0.8689036277127354,0.38461534763313965,0.45454545229967663
p_0,0.9774188184731875,0.7997495114249462,0.6859937332446517,0.8597141917422744,0.45422115987846423,0.8599651051241537,0.8936751945363338,0.9241632076083851,0.833597463461598,0.8880836802570017,0.8923076903181546,0.8242950072698697,0.7822878210740595,0.9367715206893744,0.8509757062118871,0.8548526844565584,0.844709112026069,0.8739573671233019,0.3399999660000034,0.46310737574620653,0.8023115313750114,0.6879322555706247,0.8604624537199734,0.3214285673287173,0.854187138100724,0.893172452241578,0.9235839565838544,0.8567351590023448,0.8902941979032897,0.8867790152224567,0.8482937078697286,0.8627893829045937,0.8311965767564286,0.8842911868924415,0.3703703017832774,0.5625278123608018
p_0,0.9818654792272042,0.8463196671838134,0.7571443610491759,0.9166019774826684,0.5628742430707449,0.8565488562569276,0.9024898694631837,0.9284234202069602,0.9036191965936082,0.9002930448857887,0.8683531211451907,0.8517964039977679,0.8419922695534731,0.929407494571861,0.869704386302293,0.8515344184364544,0.833418233146112,0.8873287273385475,0.32727266776860586,0.48501872432107335,0.8365662005969572,0.745995794765474,0.909640947010041,0.24372759419843024,0.8752493584798913,0.9163529011724681,0.9306246204180566,0.8831801979343895,0.9023883690087611,0.904613787183479,0.8390243894859761,0.8690766954834472,0.837262789894981,0.8879561607928691,0.2941176038062347,0.4550264535217379
p_0,0.9805352534516759,0.8257910641420504,0.6903514304681595,0.931332205938839,0.3549222774940267,0.8660540957467148,0.8758658007980932,0.9064192843266392,0.8229508187084885,0.8859014125423118,0.8716904251623787,0.8809082463370986,0.8544435534756709,0.9380818442859243,0.7995622826923562,0.8285864957052044,0.8295605803624462,0.8551113173387209,0.4271844245452015,0.4832294435048102,0.8224190967186311,0.6853084759167105,0.9371963577527755,0.3121063659054838,0.8594002976298813,0.8880465822877243,0.9184445038357788,0.8304780150587301,0.8756467431974605,0.8918760932440791,0.7701797666811951,0.7770853289139854,0.805904053092959,0.8587457912246031,0.5593219864981367,0.5245692394712418
p_0,0.9798822926337595,0.831818348675946,0.6977861136795074,0.9144284019225827,0.18628454261735372,0.8677405537873504,0.8789504975809441,0.9216386799323337,0.8246847710660952,0.8769147864853246,0.8688565056338441,0.8529759524912259,0.7878639569663225,0.9430863755015715,0.7952114603128139,0.8511722710214773,0.848156177613036,0.8627536538700048,0.5299144846226936,0.5146036137477811,0.8304168419070008,0.6944093662628935,0.8863916403536933,0.15704824827768923,0.8594859483083356,0.8864476699093623,0.925389221002761,0.7842633057543542,0.8843039544656618,0.9051094867729436,0.779340984099092,0.8130861487173694,0.8307155274536618,0.8903617154680278,0.5045044590536524,0.4861166982450032
p_0,0.9808553857341752,0.8401680781948091,0.7275556671933553,0.915313098825991,0.2217898789535043,0.865922121098327,0.8898013006196391,0.9128252999691765,0.9037520381688395,0.9027243001069929,0.887882217694491,0.8834702236050559,0.8424024619034844,0.9445415208552709,0.8563749362872712,0.8775696645098912,0.8699406321104122,0.8839186308228736,0.676923024852075,0.6186186155224294,0.8341648081704275,0.714458887801994,0.9181991575491419,0.25103447929607614,0.8804788099629771,0.9006619553850478,0.9195178370147827,0.8869695021465457,0.9104304516608019,0.9168937308880706,0.8541730821880404,0.8368652522253794,0.8279702919061245,0.8800566334141823,0.3589742669296751,0.5951954084073309
p_0,0.9786644094548862,0.798538484462805,0.643602699511061,0.9073583465001236,0.3799795671095039,0.8605860442482658,0.8690510823248865,0.8839480780851124,0.7996725999594101,0.8375247237095934,0.8514412389881494,0.8847209494859997,0.8344622031035973,0.9339278286434579,0.7647654395716442,0.8598130816010131,0.8234552280992735,0.8224884279574075,0.6016259673474823,0.5021622983918537,0.8027416187751448,0.6471227779460641,0.9184593583264092,0.35443037413875994,0.8584514718798795,0.8756730297815124,0.8990983817958775,0.7579052361517155,0.8445256870843509,0.8483072889052496,0.7987462161708321,0.8621300256460156,0.749476617240219,0.855410320906333,0.33333314814825105,0.5705244110069521
